county_desc,precinct_abbrv,precinct_desc,reg_active,reg_inactive,reg_other_status,reg_total,party_dem,party_lib,party_rep,party_unaf,party_other,race_asian,race_black,race_aian,race_multiracial,race_other_race,race_nhpi,race_undesignated,race_white,eth_hispanic,eth_not_hispanic,eth_undesignated,gender_female,gender_male,gender_unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,age_under_18,age_unknown,reg_removed,
WAYNE,17,17,955,465,0.0,1420.0,541,2,84,326,2,19,922,2,8,65,0,209,195,52,842,526,677,546,197,167,361,248,169,191,160,124,0,0,0.0,0.0
WAYNE,18,18,1058,312,0.0,1370.0,571,5,134,348,0,4,843,4,12,45,0,181,281,52,810,508,677,515,178,117,207,223,218,244,226,135,0,0,0.0,0.0
WAYNE,1920,1920,2268,748,0.0,3016.0,1476,9,163,617,3,14,2150,5,32,106,0,334,375,100,1832,1084,1573,1106,337,271,582,490,387,452,475,359,0,0,0.0,0.0
WAYNE,21,21,1444,301,0.0,1745.0,773,4,246,420,1,10,915,6,12,60,0,150,592,55,1167,523,909,683,153,147,265,229,242,274,309,279,0,0,0.0,0.0
WAYNE,22,22,1451,344,0.0,1795.0,592,5,398,456,0,27,673,5,7,76,0,154,853,68,1218,509,945,691,159,176,328,274,226,216,280,295,0,0,0.0,0.0
WAYNE,23,23,1535,425,0.0,1960.0,513,12,504,505,1,32,555,5,11,170,0,176,1011,158,1261,541,1001,788,171,190,446,385,215,267,263,194,0,0,0.0,0.0
WAYNE,24,24,2395,277,0.0,2672.0,336,11,1365,683,0,2,155,9,8,114,0,184,2200,122,1864,686,1286,1196,190,265,405,364,396,440,482,320,0,0,0.0,0.0
WAYNE,2530,2530,2789,520,0.0,3309.0,1093,4,918,774,0,7,1257,9,6,164,1,233,1632,169,2046,1094,1752,1333,224,322,445,428,395,549,642,528,0,0,0.0,0.0
WAYNE,26,26,1996,375,0.0,2371.0,814,4,555,620,3,6,921,7,11,294,0,177,955,287,1416,668,1198,997,176,276,397,313,338,378,389,280,0,0,0.0,0.0
WAYNE,27,27,1302,256,0.0,1558.0,740,2,226,334,0,2,911,3,5,126,1,113,397,131,1005,422,814,625,119,169,239,185,187,265,262,251,0,0,0.0,0.0
WAYNE,28,28,2892,553,0.0,3445.0,853,18,1044,974,3,11,777,6,16,598,0,274,1763,641,1944,860,1658,1530,257,495,660,454,446,523,503,364,0,0,0.0,0.0
WAYNE,29,29,1406,325,0.0,1731.0,702,8,273,423,0,8,902,2,13,48,1,186,571,44,1122,565,912,646,173,146,277,263,222,277,300,246,0,0,0.0,0.0
WILKES,101,ANTIOCH,622,70,0.0,692.0,89,2,338,193,0,1,30,0,2,10,0,48,601,13,515,164,322,322,48,62,93,86,89,117,150,95,0,0,0.0,0.0
WILKES,102,BOOMER,1400,187,0.0,1587.0,227,4,714,455,0,10,135,4,3,26,0,123,1286,27,1162,398,767,705,115,138,179,158,222,301,324,265,0,0,0.0,0.0
WILKES,103,BRUSHY MOUNTAIN,493,39,0.0,532.0,35,2,307,149,0,0,6,0,0,4,0,21,501,4,414,114,254,252,26,43,57,39,82,100,107,104,0,0,0.0,0.0
WILKES,104,CRICKET,1538,203,0.0,1741.0,176,4,870,488,0,7,39,3,5,85,0,118,1484,94,1261,386,883,737,121,196,256,229,255,290,264,251,0,0,0.0,0.0
WILKES,105,EDWARDS #1,1085,107,0.0,1192.0,83,4,692,306,0,3,20,2,2,17,0,84,1064,19,855,318,551,548,93,122,168,161,167,227,192,155,0,0,0.0,0.0
WILKES,106,EDWARDS #2,837,90,0.0,927.0,120,2,496,219,0,2,59,1,0,15,0,60,790,18,663,246,455,407,65,86,119,120,116,171,161,154,0,0,0.0,0.0
WILKES,107,EDWARDS #3,2538,246,0.0,2784.0,250,14,1588,685,1,2,17,0,4,40,0,210,2511,35,1934,815,1326,1229,229,233,387,330,381,508,501,444,0,0,0.0,0.0
WILKES,108,FAIRPLAINS,1290,185,0.0,1475.0,213,3,624,450,0,3,137,3,7,73,0,104,1148,84,1049,342,741,626,108,155,222,231,202,227,264,174,0,0,0.0,0.0
WILKES,109,FERGUSON,773,84,0.0,857.0,139,3,434,197,0,2,43,1,3,11,0,58,739,12,648,197,401,393,63,73,92,81,134,174,154,149,0,0,0.0,0.0
