county,registered_youth,registered_total
ROSE HILL,171,1433
SMITH GROVE,350,3588
SMITH/CABIN,131,1168
SOUTH CALAHALN,95,1084
SOUTH MOCKSVILLE,253,2298
WALLACE,561,5506
WARSAW,289,2716
WEST SHADY GROVE,121,1619
WOLFSCRAPE,195,1390
012,560,5274
013,732,6467
014,374,3892
015,784,8697
016,1033,8659
017,204,1931
021,555,6326
031,621,5617
032,578,6513
033,509,4696
034,638,5877
042,531,5300
043,465,3433
051,268,3037
052,88,1152
053,227,2756
054,233,2523
055,390,3696
061,173,2133
062,174,1820
063,366,3625
064,90,1203
065,353,4074
066,261,2440
067,145,1686
068,255,2573
071,347,3508
073,358,3399
074,327,3417
075,75,765
076,259,2811
077,348,2639
081,407,3148
083,225,1917
084,191,2127
085,200,2121
091,170,2067
092,152,1710
101,170,1901
111,115,1711
112,261,2943
121,260,2950
123,194,2789
124,360,2940
131,338,3592
132,466,4327
134,342,3185
135,402,3404
202,187,1787
203,187,1421
204,279,1365
205,80,649
206,168,1349
207,278,1976
208,454,1714
301,102,664
302,113,813
303,108,622
304,163,1522
305,141,1276
306,259,1295
401,214,1403
402,141,1021
403,175,1774
404,215,2118
405,1212,1767
501,203,1659
502,175,1147
503,319,1219
504,196,1035
505,271,1571
506,236,1713
508,343,2579
509,270,2211
601,122,1378
602,345,3899
603,150,1890
604,173,1532
605,328,3044
606,230,1530
607,144,2029
701,116,1318
702,91,1497
703,71,1106
704,91,1695
705,168,2212
706,101,1075
707,98,1221
708,418,3854
709,204,2853
801,156,1238
802,160,1574
803,154,1615
804,119,1205
805,202,2295
806,130,1810
807,164,1762
808,289,2817
809,236,2664
901,143,1669
902,120,2068
903,1437,2881
904,241,1934
905,629,2239
906,265,2994
907,135,1762
908,249,2593
909,127,1256
ALEXIS,294,3358
ASHBROOK,375,3683
BATTLEBORO,113,1313
BUNN,146,1625
CATAWBA HEIGHTS,260,3269
CEDAR ROCK,91,1405
CENTRAL BELMONT,267,3669
CONETOE,79,994
COUNTRY CLUB,437,4270
CRAMERTON,336,4350
CROWDERS MOUNTAIN,322,3790
DALLAS NE,350,3480
DALLAS SW,470,4838
EAST  LOUISBURG COUNTRY,169,1733
EAST FRANKLINTON,392,3850
